filename,subject_id,video_id,old_name,Date,exclude,Duration,changed,num_lang,cohort,low_res,video_name,date_tested,Upload_fname,age_in_days_during_video,vid_index,start_time,end_time
00510002_GX010010_08.05.2024-08.11.2024_08.11.2024-6:14am,00510002,GX010010,NA,NA,NA,704.73,NA,1,ongoing,NA,00510002_GX010010_08.05.2024-08.11.2024_08.11.2024-6:14am,2024-08-11,00510002_GX010010_08.05.2024-08.11.2024_08.11.2024-6:14am.zip,437,66,352.365,382.365
00510002_GX020010_08.12.2024-08.18.2024_08.12.2024-6:32am,00510002,GX020010,NA,NA,NA,768.79,NA,1,ongoing,NA,00510002_GX020010_08.12.2024-08.18.2024_08.12.2024-6:32am,2024-08-12,00510002_GX020010_08.12.2024-08.18.2024_08.12.2024-6:32am.zip,438,72,384.395,414.395
00510002_GX030011_08.12.2024-08.18.2024_08.18.2024-6:42am,00510002,GX030011,NA,NA,NA,704.73,NA,1,ongoing,NA,00510002_GX030011_08.12.2024-08.18.2024_08.18.2024-6:42am,2024-08-18,00510002_GX030011_08.12.2024-08.18.2024_08.18.2024-6:42am.zip,444,78,352.365,382.365
00510002_GX030011_08.19.2024-08.25.2024_08.20.2024-6:43am,00510002,GX030011,NA,NA,NA,832.85,NA,1,ongoing,NA,00510002_GX030011_08.19.2024-08.25.2024_08.20.2024-6:43am,2024-08-20,00510002_GX030011_08.19.2024-08.25.2024_08.20.2024-6:43am.zip,446,84,416.425,446.425
00510002_GX040011_08.26.2024-09.01.2024_08.26.2024-6:38am,00510002,GX040011,NA,NA,NA,768.79,NA,1,ongoing,NA,00510002_GX040011_08.26.2024-09.01.2024_08.26.2024-6:38am,2024-08-26,00510002_GX040011_08.26.2024-09.01.2024_08.26.2024-6:38am.zip,452,90,384.395,414.395
00510002_GX020011_09.02.2024-09.08.2024_09.03.2024-6:17am,00510002,GX020011,NA,NA,NA,229.76,NA,1,ongoing,NA,00510002_GX020011_09.02.2024-09.08.2024_09.03.2024-6:17am,2024-09-03,00510002_GX020011_09.02.2024-09.08.2024_09.03.2024-6:17am.zip,460,96,114.88,144.88
00510002_GX010013_09.02.2024-09.08.2024_09.05.2024-6:24am,00510002,GX010013,NA,NA,NA,768.79,NA,1,ongoing,NA,00510002_GX010013_09.02.2024-09.08.2024_09.05.2024-6:24am,2024-09-05,00510002_GX010013_09.02.2024-09.08.2024_09.05.2024-6:24am.zip,462,102,384.395,414.395
00510002_GX040012_09.09.2024-09.15.2024_09.09.2024-6:31am,00510002,GX040012,NA,NA,NA,704.73,NA,1,ongoing,NA,00510002_GX040012_09.09.2024-09.15.2024_09.09.2024-6:31am,2024-09-09,00510002_GX040012_09.09.2024-09.15.2024_09.09.2024-6:31am.zip,466,108,352.365,382.365
00510002_GX020013_09.16.2024-09.22.2024_09.16.2024-6:37am,00510002,GX020013,NA,NA,NA,704.73,NA,1,ongoing,NA,00510002_GX020013_09.16.2024-09.22.2024_09.16.2024-6:37am,2024-09-16,00510002_GX020013_09.16.2024-09.22.2024_09.16.2024-6:37am.zip,473,114,352.365,382.365
00510002_GX030014_09.16.2024-09.22.2024_09.17.2024-6:36am,00510002,GX030014,NA,NA,NA,768.79,NA,1,ongoing,NA,00510002_GX030014_09.16.2024-09.22.2024_09.17.2024-6:36am,2024-09-17,00510002_GX030014_09.16.2024-09.22.2024_09.17.2024-6:36am.zip,474,120,384.395,414.395
00510002_GX010014_09.23.2024-09.29.2024_09.27.2024-6:37am,00510002,GX010014,NA,NA,NA,768.79,NA,1,ongoing,NA,00510002_GX010014_09.23.2024-09.29.2024_09.27.2024-6:37am,2024-09-27,00510002_GX010014_09.23.2024-09.29.2024_09.27.2024-6:37am.zip,484,126,384.395,414.395
00510002_GX040013_09.30.2024-10.06.2024_09.30.2024-6:32am,00510002,GX040013,NA,NA,NA,704.73,NA,1,ongoing,NA,00510002_GX040013_09.30.2024-10.06.2024_09.30.2024-6:32am,2024-09-30,00510002_GX040013_09.30.2024-10.06.2024_09.30.2024-6:32am.zip,487,132,352.365,382.365
00510002_GX020013_10.07.2024-10.13.2024_10.07.2024-6:35am,00510002,GX020013,NA,NA,NA,832.85,NA,1,ongoing,NA,00510002_GX020013_10.07.2024-10.13.2024_10.07.2024-6:35am,2024-10-07,00510002_GX020013_10.07.2024-10.13.2024_10.07.2024-6:35am.zip,494,138,416.425,446.425
00510002_GX030014_10.07.2024-10.13.2024_10.08.2024-6:19am,00510002,GX030014,NA,NA,NA,832.85,NA,1,ongoing,NA,00510002_GX030014_10.07.2024-10.13.2024_10.08.2024-6:19am,2024-10-08,00510002_GX030014_10.07.2024-10.13.2024_10.08.2024-6:19am.zip,495,144,416.425,446.425
00510002_GX010014_10.14.2024-10.20.2024_10.15.2024-6:18am,00510002,GX010014,NA,NA,NA,768.79,NA,1,ongoing,NA,00510002_GX010014_10.14.2024-10.20.2024_10.15.2024-6:18am,2024-10-15,00510002_GX010014_10.14.2024-10.20.2024_10.15.2024-6:18am.zip,502,150,384.395,414.395
