filename,subject_id,video_id,duration,num_lang,cohort,video_name,age_in_months,date_tested
00220001_GX010039_07.22.2024-07.28.2024_07.22.2024-5:21pm,00220001,GX010039,704.73,1,ongoing,00220001_GX010039_07.22.2024-07.28.2024_07.22.2024-5:21pm,10.79734219269103,2024-07-22
00220001_GX010040_07.29.2024-08.04.2024_07.30.2024-5:53pm,00220001,GX010040,704.73,1,ongoing,00220001_GX010040_07.29.2024-08.04.2024_07.30.2024-5:53pm,11.06312292358804,2024-07-30
00220001_GX010042_08.05.2024-08.11.2024_08.05.2024-5:55pm,00220001,GX010042,704.73,1,ongoing,00220001_GX010042_08.05.2024-08.11.2024_08.05.2024-5:55pm,11.262458471760796,2024-08-05
00220001_GX010042_08.12.2024-08.18.2024_08.18.2024-7:06am,00220001,GX010042,704.73,1,ongoing,00220001_GX010042_08.12.2024-08.18.2024_08.18.2024-7:06am,11.694352159468439,2024-08-18
00220001_GX010043_08.19.2024-08.25.2024_08.21.2024-5:03pm,00220001,GX010043,704.73,1,ongoing,00220001_GX010043_08.19.2024-08.25.2024_08.21.2024-5:03pm,11.794019933554816,2024-08-21
00220001_GX010044_08.26.2024-09.01.2024_08.28.2024-5:40pm,00220001,GX010044,704.73,1,ongoing,00220001_GX010044_08.26.2024-09.01.2024_08.28.2024-5:40pm,12.0265780730897,2024-08-28
00220001_GX010045_08.26.2024-09.01.2024_08.28.2024-6:00pm,00220001,GX010045,704.73,1,ongoing,00220001_GX010045_08.26.2024-09.01.2024_08.28.2024-6:00pm,12.0265780730897,2024-08-28
00220001_GX010046_09.02.2024-09.08.2024_09.02.2024-11:45am,00220001,GX010046,704.73,1,ongoing,00220001_GX010046_09.02.2024-09.08.2024_09.02.2024-11:45am,12.192691029900331,2024-09-02
00220001_GX010047_09.02.2024-09.08.2024_09.02.2024-NA,00220001,GX010047,704.73,1,ongoing,00220001_GX010047_09.02.2024-09.08.2024_09.02.2024-NA,12.192691029900331,2024-09-02
00220001_GX010049_09.09.2024-09.15.2024_09.13.2024-NA,00220001,GX010049,704.73,1,ongoing,00220001_GX010049_09.09.2024-09.15.2024_09.13.2024-NA,12.55813953488372,2024-09-13
00220001_GX010050_09.16.2024-09.22.2024_09.18.2024-5:40pm,00220001,GX010050,704.73,1,ongoing,00220001_GX010050_09.16.2024-09.22.2024_09.18.2024-5:40pm,12.724252491694351,2024-09-18
00220001_GX010051_09.16.2024-09.22.2024_09.18.2024-NA,00220001,GX010051,704.73,1,ongoing,00220001_GX010051_09.16.2024-09.22.2024_09.18.2024-NA,12.724252491694351,2024-09-18
00220001_GX010052_09.23.2024-09.29.2024_09.26.2024-5:40pm,00220001,GX010052,704.73,1,ongoing,00220001_GX010052_09.23.2024-09.29.2024_09.26.2024-5:40pm,12.99003322259136,2024-09-26
00220001_GX010053_09.23.2024-09.29.2024_09.26.2024-NA,00220001,GX010053,704.73,1,ongoing,00220001_GX010053_09.23.2024-09.29.2024_09.26.2024-NA,12.99003322259136,2024-09-26
00220001_GX010054_09.30.2024-10.06.2024_10.04.2024-7:07am,00220001,GX010054,277.76,1,ongoing,00220001_GX010054_09.30.2024-10.06.2024_10.04.2024-7:07am,13.25581395348837,2024-10-04
00220001_GX010055_09.30.2024-10.06.2024_10.05.2024-4:55pm,00220001,GX010055,704.73,1,ongoing,00220001_GX010055_09.30.2024-10.06.2024_10.05.2024-4:55pm,13.289036544850498,2024-10-05
00220001_GX010057_10.07.2024-10.13.2024_10.09.2024-5:56pm,00220001,GX010057,704.73,1,ongoing,00220001_GX010057_10.07.2024-10.13.2024_10.09.2024-5:56pm,13.421926910299003,2024-10-09
00220001_GX010058_10.14.2024-10.20.2024_10.17.2024-5:12pm,00220001,GX010058,704.73,1,ongoing,00220001_GX010058_10.14.2024-10.20.2024_10.17.2024-5:12pm,13.687707641196013,2024-10-17
