release_1_filename,subject_id,video_id,filename,duration,num_lang,cohort,video_name,age_in_months,date_tested,comments
00220001_GX030001_02.05.2024-02.11.2024_02.05.2024-5:19pm,00220001,GX030001,00220001_GX030001_02.05.2024-02.11.2024_02.05.2024-5:19pm,704.73,1,release_1,00220001_GX030001_02.05.2024-02.11.2024_02.05.2024-5:19pm,5.354796320630749,2024-02-05,NA
00220001_GX030003__2024-02-12-09:04:46,00220001,GX030003,00220001_GX030003_02.05.2024-02.11.2024_02.05.2024-1:47pm,704.73,1,release_1,00220001_GX030003_02.05.2024-02.11.2024_02.05.2024-1:47pm,5.354796320630749,2024-02-05,NA
00220001_GX020006_02.19.2024-02.25.2024_02.24.2024-NA,00220001,GX020006,00220001_GX020006_02.19.2024-02.25.2024_02.24.2024-NA,704.73,1,release_1,00220001_GX020006_02.19.2024-02.25.2024_02.24.2024-NA,5.978975032851511,2024-02-24,NA
00220001_GX010011_03.11.2024-03.17.2024_03.06.2024-1:59pm,00220001,GX010011,00220001_GX010011_03.04.2024-03.10.2024_03.06.2024-1:59pm,704.73,1,release_1,00220001_GX010011_03.04.2024-03.10.2024_03.06.2024-1:59pm,6.340341655716163,2024-03-06,NA
00220001_GX010011_03.11.2024-03.17.2024_03.06.2024-1:59pm,00220001,GX010011,00220001_GX010011_03.11.2024-03.17.2024_03.12.2024-5:52pm,570.43,1,release_1,00220001_GX010011_03.11.2024-03.17.2024_03.12.2024-5:52pm,6.5374507227332455,2024-03-12,NA
00220001_GX030015_03.25.2024-03.31.2024_03.30.2024-12:51pm,00220001,GX030015,00220001_GX030015_03.25.2024-03.31.2024_03.30.2024-12:51pm,528.34,1,release_1,00220001_GX030015_03.25.2024-03.31.2024_03.30.2024-12:51pm,7.128777923784494,2024-03-30,NA
00220001_GX030016_04.01.2024-04.07.2024_04.06.2024-12:07pm,00220001,GX030016,00220001_GX030016_04.01.2024-04.07.2024_04.06.2024-12:07pm,704.73,1,release_1,00220001_GX030016_04.01.2024-04.07.2024_04.06.2024-12:07pm,7.35873850197109,2024-04-06,NA
00220001_GX020026__2024-04-30-17:38:42,00220001,GX020026,00220001_GX020026_04.29.2024-05.05.2024_04.29.2024-6:24pm,704.73,1,release_1,00220001_GX020026_04.29.2024-05.05.2024_04.29.2024-6:24pm,8.114323258869907,2024-04-29,NA
00230001_GX010007_11.13.2023-11.19.2023_11.13.2023-8:14am,00230001,GX010007,00230001_GX010007_11.13.2023-11.19.2023_11.13.2023-8:14am,390.72,1,release_1,00230001_GX010007_11.13.2023-11.19.2023_11.13.2023-8:14am,6.176084099868594,2023-11-13,NA
00230001_GX020008_01.01.2024-01.07.2024_12.10.2023-12:20pm,00230001,GX020008,00230001_GX020008_01.01.2024-01.07.2024_01.01.2024-1:43pm,768.79,1,release_1,00230001_GX020008_01.01.2024-01.07.2024_01.01.2024-1:43pm,7.7858081471747695,2024-01-01,NA
00230001_GX020008_01.01.2024-01.07.2024_12.10.2023-12:20pm,00230001,GX020008,00230001_GX020008_12.04.2023-12.10.2023_12.10.2023-12:20pm,768.79,1,release_1,00230001_GX020008_12.04.2023-12.10.2023_12.10.2023-12:20pm,7.063074901445466,2023-12-10,NA
00230001_GX010010_03.04.2024-03.10.2024_03.04.2024-5:00pm,00230001,GX010010,00230001_GX010010_03.04.2024-03.10.2024_03.04.2024-5:00pm,704.73,1,release_1,00230001_GX010010_03.04.2024-03.10.2024_03.04.2024-5:00pm,9.85545335085414,2024-03-04,NA
00230001_GX030011_04.08.2024-04.14.2024_04.14.2024-NA,00230001,GX030011,00230001_GX030011_04.08.2024-04.14.2024_04.14.2024-NA,618.22,1,release_1,00230001_GX030011_04.08.2024-04.14.2024_04.14.2024-NA,11.202365308804204,2024-04-14,NA
00270001_GX010037_02.27.2023-03.05.2023_2023-03-04-19:12:52,00270001,GX010037,00270001_GX010037_02.27.2023-03.05.2023_03.03.2023-NA,960.98,1,ego_single,00270001_GX010037_02.27.2023-03.05.2023_03.03.2023-NA,7.35873850197109,2023-03-03,NA
00270001_GX020039_03.06.2023-03.12.2023_2023-03-14-00:51:39,00270001,GX020039,00270001_GX020039_03.06.2023-03.12.2023_03.09.2023-NA,569.8,1,ego_single,00270001_GX020039_03.06.2023-03.12.2023_03.09.2023-NA,7.555847568988173,2023-03-09,NA
00270001_GX020043_03.27.2023-04.02.2023_2023-04-06-01:57:25,00270001,GX020043,00270001_GX020043_03.27.2023-04.02.2023_04.02.2023-NA,704.73,1,ego_single,00270001_GX020043_03.27.2023-04.02.2023_04.02.2023-NA,8.344283837056505,2023-04-02,NA
00320002_GX010017_02.26.2024-03.03.2024_03.01.2024-8:42am,00320002,GX010017,00320002_GX010017_02.26.2024-03.03.2024_03.01.2024-8:42am,960.98,1,release_1,00320002_GX010017_02.26.2024-03.03.2024_03.01.2024-8:42am,8.508541392904073,2024-03-01,NA
00320002_GX010020_03.11.2024-03.17.2024_03.11.2024-8:42am,00320002,GX010020,00320002_GX010020_03.11.2024-03.17.2024_03.11.2024-8:42am,704.73,1,release_1,00320002_GX010020_03.11.2024-03.17.2024_03.11.2024-8:42am,8.83705650459921,2024-03-11,NA
00320002_GX010020_03.11.2024-03.17.2024_03.11.2024-8:42am,00320002,GX010020,00320002_GX010020_07.29.2024-08.04.2024_08.01.2024-7:12pm,832.85,1,ongoing,00320002_GX010020_07.29.2024-08.04.2024_08.01.2024-7:12pm,13.534822601839684,2024-08-01,NA
00320002_GX020023_03.18.2024-03.24.2024_03.22.2024-2:27pm,00320002,GX020023,00320002_GX020023_03.18.2024-03.24.2024_03.22.2024-2:27pm,481.77,1,release_1,00320002_GX020023_03.18.2024-03.24.2024_03.22.2024-2:27pm,9.198423127463863,2024-03-22,NA
00320002_GX020023_03.18.2024-03.24.2024_03.22.2024-2:27pm,00320002,GX020023,00320002_GX020023_08.19.2024-08.25.2024_08.19.2024-3:10pm,832.85,1,ongoing,00320002_GX020023_08.19.2024-08.25.2024_08.19.2024-3:10pm,14.126149802890932,2024-08-19,NA
00320002_GX020029_04.01.2024-04.07.2024_04.01.2024-4:11pm,00320002,GX020029,00320002_GX020029_04.01.2024-04.07.2024_04.01.2024-4:11pm,482.99,1,release_1,00320002_GX020029_04.01.2024-04.07.2024_04.01.2024-4:11pm,9.526938239159001,2024-04-01,NA
00320002_GX020029_04.01.2024-04.07.2024_04.01.2024-4:11pm,00320002,GX020029,00320002_GX020029_09.09.2024-09.15.2024_09.11.2024-4:05pm,409.38,1,ongoing,00320002_GX020029_09.09.2024-09.15.2024_09.11.2024-4:05pm,14.88173455978975,2024-09-11,NA
00320002_GX020032_04.08.2024-04.14.2024_04.12.2024-11:57am,00320002,GX020032,00320002_GX020032_04.08.2024-04.14.2024_04.12.2024-11:57am,774.81,1,release_1,00320002_GX020032_04.08.2024-04.14.2024_04.12.2024-11:57am,9.888304862023652,2024-04-12,NA
00320002_GX020042_04.22.2024-04.28.2024_04.22.2024-12:07pm,00320002,GX020042,00320002_GX020042_04.22.2024-04.28.2024_04.22.2024-12:07pm,960.98,1,release_1,00320002_GX020042_04.22.2024-04.28.2024_04.22.2024-12:07pm,10.21681997371879,2024-04-22,NA
00320002_GX020042_04.22.2024-04.28.2024_04.22.2024-12:07pm,00320002,GX020042,00320002_GX020042_10.07.2024-10.13.2024_10.08.2024-NA,329.17,1,ongoing,00320002_GX020042_10.07.2024-10.13.2024_10.08.2024-NA,15.768725361366622,2024-10-08,NA
00350001_GX020021_11.27.2023-12.03.2023_12.03.2023-NA,00350001,GX020021,00350001_GX020021_11.27.2023-12.03.2023_12.03.2023-NA,536.11,1,release_1,00350001_GX020021_11.27.2023-12.03.2023_12.03.2023-NA,10.019710906701707,2023-12-03,NA
00370001_GX010005_01.01.2024-01.07.2024_01.03.2024-7:05am,00370001,GX010005,00370001_GX010005_01.01.2024-01.07.2024_01.03.2024-7:05am,1089.11,1,release_1,00370001_GX010005_01.01.2024-01.07.2024_01.03.2024-7:05am,9.789750328515112,2024-01-03,NA
00370001_GX010005_01.01.2024-01.07.2024_01.03.2024-7:05am,00370001,GX010005,00370001_GX010005_07.29.2024-08.04.2024_08.02.2024-7:07am,643.35,1,ongoing,00370001_GX010005_07.29.2024-08.04.2024_08.02.2024-7:07am,16.754270696452036,2024-08-02,NA
00370001_GX010007_01.08.2024-01.14.2024_01.14.2024-10:25am,00370001,GX010007,00370001_GX010007_01.08.2024-01.14.2024_01.14.2024-10:25am,832.85,1,release_1,00370001_GX010007_01.08.2024-01.14.2024_01.14.2024-10:25am,10.151116951379763,2024-01-14,NA
00370001_GX010007_01.08.2024-01.14.2024_01.14.2024-10:25am,00370001,GX010007,00370001_GX010007_07.29.2024-08.04.2024_08.04.2024-3:00pm,896.92,1,ongoing,00370001_GX010007_07.29.2024-08.04.2024_08.04.2024-3:00pm,16.819973718791065,2024-08-04,NA
00370001_GX040007_01.15.2024-01.21.2024_01.14.2024-NA,00370001,GX040007,00370001_GX040007_01.08.2024-01.14.2024_01.14.2024-10:25am,884.35,1,release_1,00370001_GX040007_01.08.2024-01.14.2024_01.14.2024-10:25am,10.151116951379763,2024-01-14,NA
00370001_GX020010_01.15.2024-01.21.2024_01.21.2024-8:11am,00370001,GX020010,00370001_GX020010_01.15.2024-01.21.2024_01.21.2024-8:11am,896.92,1,release_1,00370001_GX020010_01.15.2024-01.21.2024_01.21.2024-8:11am,10.38107752956636,2024-01-21,NA
00370001_GX020010_01.15.2024-01.21.2024_01.21.2024-8:11am,00370001,GX020010,00370001_GX020010_08.12.2024-08.18.2024_08.18.2024-8:12am,896.92,1,ongoing,00370001_GX020010_08.12.2024-08.18.2024_08.18.2024-8:12am,17.279894875164256,2024-08-18,NA
00370001_GX020014_01.22.2024-01.28.2024_01.28.2024-7:17am,00370001,GX020014,00370001_GX020014_01.22.2024-01.28.2024_01.28.2024-7:17am,896.92,1,release_1,00370001_GX020014_01.22.2024-01.28.2024_01.28.2024-7:17am,10.611038107752956,2024-01-28,NA
00370001_GX020014_01.22.2024-01.28.2024_01.28.2024-7:17am,00370001,GX020014,00370001_GX020014_09.09.2024-09.15.2024_09.15.2024-3:00pm,896.92,1,ongoing,00370001_GX020014_09.09.2024-09.15.2024_09.15.2024-3:00pm,18.199737187910642,2024-09-15,NA
00370001_GX010016_02.12.2024-02.18.2024_02.17.2024-7:03am,00370001,GX010016,00370001_GX010016_02.12.2024-02.18.2024_02.17.2024-7:03am,896.92,1,release_1,00370001_GX010016_02.12.2024-02.18.2024_02.17.2024-7:03am,11.268068331143231,2024-02-17,NA
00370001_GX010016_02.12.2024-02.18.2024_02.17.2024-7:03am,00370001,GX010016,00370001_GX010016_09.23.2024-09.29.2024_09.27.2024-3:10pm,960.98,1,ongoing,00370001_GX010016_09.23.2024-09.29.2024_09.27.2024-3:10pm,18.593955321944808,2024-09-27,NA
00370001_GX020018_02.19.2024-02.25.2024_02.18.2024-7:07am,00370001,GX020018,00370001_GX020018_02.12.2024-02.18.2024_02.18.2024-7:07am,960.98,1,release_1,00370001_GX020018_02.12.2024-02.18.2024_02.18.2024-7:07am,11.300919842312746,2024-02-18,NA
